reasoning,company,job_title,location,domain,domain_specific_skills,work_model,min_experience,max_experience,number_of_employees,weeks_since_posting,min_salary,max_salary,no_of_applicants,company_type,key_responsibilities,technical_requirements,education,benefits_culture,unique_aspects,application_link,applicant_insights
"The job posting is for a Solutions Engineer role at PubMatic, focusing on publisher sales. The role requires a blend of technical and business skills, with experience in ad tech and programmatic advertising. The information provided is comprehensive, detailing responsibilities, requirements, company culture, and benefits.",PubMatic,Senior Solutions Engineer,"Gurugram, Haryana, India",AdTech,"Prebid, Header Bidding, ORTB, SQL, JavaScript, Python, HTML, CSS",Hybrid,4,8,"501-1,000",0,,,27,"Public Company (Nasdaq: PUBM), Technology, Information and Internet",Work with customer-facing teams to identify business goals and implement PubMatic platform. Partner with publishers to implement and test product offerings. Customize solutions and build automation tools. Contribute to sales efforts through technical demonstrations and RFP submissions. Collaborate with engineering and product teams to develop custom solutions and influence the product roadmap. Provide subject matter expertise to account teams and customers.,"App and video development (HTML, CSS, JavaScript), databases (MySQL), command-line environments, Prebid and Header Bidding implementations, understanding of ORTB protocols, first/third party data, GDPR, CCPA, consent manager implementation, quantitative skills in SQL, Excel, R or Python, analytical and troubleshooting skills.",Bachelors,"Offers benefits like paternity/maternity leave, healthcare insurance, broadband reimbursement, healthy snacks and catered lunches. Promotes diversity and inclusion. Hybrid work schedule (3 days in office, 2 days remote).","Focus on maximizing customer value through digital advertising’s supply chain. Emphasis on data-driven decisioning and a vibrant, transparent digital advertising supply chain.",,38% of applicants have a Bachelor of Technology. 58% of applicants are entry level.
"The job posting is for a Principal Engineer role at Mercer. The information provided includes details about the company, job responsibilities, required skills, experience level, and company culture. I will extract the relevant information and populate the output fields accordingly.",Mercer,Senior Principal Engineer,"Gurugram, Haryana, India",Full-stack,"Java, J2EE, Python, Micro services, SQL, No SQL Databases, Cloud (AWS), Terraform, Chef, Puppet, Ansible",Hybrid,8,8,"10,001+",2,,,100,"Large enterprise, professional services","Own and deliver complete features across the development lifecycle, including design, architecture, implementation, testability, debugging, shipping, and servicing. Write and review clean, well-thought-out code with an emphasis on quality, performance, simplicity, durability, scalability, and maintainability. Performing data analysis to identify opportunities to optimize services. Leading discussions for the architecture of products/solutions, refine code plans. Working on research and development in cutting edge accelerations and optimizations. Mentoring junior team members in their growth and development. Collaborating with Product Managers, Architects, and UX Designers on new features.","Java/J2EE, Full stack development, Python, Micro services, , SQL/NO SQL Databases, Cloud (AWS), API development and other open source technologies, Configuration Management (Terraform, Chef, Puppet or Ansible), problem-solving skills, strong organizational skills.",Bachelors,"Marsh McLennan is committed to embracing a diverse, inclusive and flexible work environment. Hybrid work model with expectation of 3 days/week in office.","Focus on building brighter futures, redefining the future of work, reshaping retirement and investment outcomes, and unlocking real health and well-being.",,75% of applicants are at the senior level. 52% have a Bachelor of Technology degree.
"The job posting is for a Lead Quality Engineer at Cognizant. The information provided includes job responsibilities, technical requirements, education level, company size, and applicant insights. I will extract the relevant information and populate the output fields accordingly.",Cognizant,Lead Quality Engineer,"Gurgaon, Haryana, India",IT Services and IT Consulting,"AWS, Selenium, Python, Jira, CICD, Git, CloudWatch, Lambda, Batch",Hybrid,2,5,"10,001+",1,,,100,"Large IT Services and IT Consulting company with over 10,000 employees.","Data and functionality testing of applications hosted on AWS Cloud, defining test plans, developing test cases, conducting reviews, executing test cases, performing regression, functional, automated, load, stress, and performance testing, performing root cause analysis, communicating testing status, escalating issues, and working independently throughout the SDLC.","Proficiency in all types of testing (Sanity, functional, regression, integration, load, stress, and performance), knowledge of Jira, experience with AWS, Selenium, Python, CICD, Git, CloudWatch, Lambda, Batch.",Bachelors,Not explicitly mentioned in the provided text.,The role involves working with cloud technologies (AWS) and automating QA functions. The company is focused on modernizing businesses and transforming experiences.,,"49% of applicants have a Bachelor of Technology, and 56% are at a senior level."
"The job description is for a Backend Developer role at BlackRock. The description provides details about the company, the role's responsibilities, required skills, and benefits. I've extracted the relevant information to populate the output fields. The experience level is clearly stated as 4+ years. The number of employees is provided as 10,000+. The posting date is implied to be around 2 weeks ago based on the text. Salary information is not provided.",BlackRock,Associate Backend Developer,"Gurgaon, Haryana, India",FinTech,"REST APIs, microservices, cloud technologies",Hybrid,4,10,"10,000+",2,,,100,Global asset manager and technology provider,"Developing and maintaining backend systems, collaborating with technologists and non-technical colleagues, delivering business value, ensuring quality and attention to detail.","Java, Spring, Spring Boot, REST APIs, microservices, cloud technologies (Microsoft Azure), databases (MySQL, PostgreSQL, Greenplum), scripting languages (Python), DevOps tools (Azure DevOps).",Bachelors,"Strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents, Flexible Time Off (FTO), hybrid work model.","Opportunity to work on next-generation technology and solutions within a leading financial company, collaborative team structure, focus on innovation and learning.",,"65% of applicants are entry level, 56% have a Bachelor of Technology degree."
"The job description is for a Software Engineer role at Tower Research Capital. The description provides details about the company, responsibilities, qualifications, benefits, and company culture. I will extract the relevant information to populate the output fields.",Tower Research Capital,Junior Software Engineer,"Gurugram, Haryana, India",AI/Development,"distributed systems, shell scripts",Hybrid,0,2,"1,001-5,000",0,,,100,"Financial Services, 1,001-5,000 employees","Playing a key role in strategic projects to automate Tower’s production environment, Disrupting traditional processes and practices by developing innovative applications that solve real-world problems, Being responsible for the wide range of internal systems and tools, Exploring open-source tools and enhance our in-house products, helping to develop an agile framework that adapts to quickly evolving requirements and business needs, Liaising with and supporting other technical teams, Building software to collect, analyze, and visualize large amounts of data, Identifying opportunities to use technology to solve trading infrastructure management challenges","Strong knowledge of the full web programming stack, Experience working with distributed systems (a plus), Good Linux system skills and knowledge of shell scripts",Bachelors,"Generous paid time off policies, Savings plans and other financial wellness tools available in each region, Hybrid working opportunities, Free breakfast, lunch and snacks daily, In-office wellness experiences and reimbursement for select wellness expenses (e.g., gym, personal training and more), Volunteer opportunities and charitable giving, Social events, happy hours, treats and celebrations throughout the year, Workshops and continuous learning opportunities. Collaborative and welcoming culture, diverse team, workplace that values both performance and enjoyment. No unnecessary hierarchy. No ego. Just great people doing great work – together.","Focus on a stimulating, results-oriented environment where highly intelligent and motivated colleagues inspire each other. Emphasis on a friendly, collaborative environment where everyone is respected, and great ideas win.",,"63% have a Bachelor of Technology, 71% are Entry level applicants"
"The job description is for a Software Engineer role at Nielsen, focusing on AI/Computer Vision and LLMs. The description provides details about the company, responsibilities, required skills, and qualifications. The information is comprehensive enough to fill all the requested fields.",Nielsen,"Seniority(junior,mid-level,senior), title(full-stack,ai,computer vision), role(engineer)","Gurgaon, Haryana, India",AI,"computer vision, LLMs, object detection, deep learning, PyTorch, TensorFlow, Keras",Hybrid,1,6,"10,001+",1,,,100,"Large company with over 10,000 employees, global leader in audience insights, data, and analytics.","AI/ML System Development, Model Implementation & Training, Computer Vision Solutions, LLM & GenAI Application, Software Development & Deployment, UI/UX for AI Tools, Learning & Innovation, Collaboration, Code Quality & Optimization, Data Handling.","Python, PyTorch (preferred) or TensorFlow/Keras, deep learning frameworks, object detection, computer vision, LLMs, Git, Docker, data structures, algorithms, testing practices.",Bachelors,"The job description highlights a dynamic team committed to excellence, perseverance, and ambition. It emphasizes a culture of growth and impact, championing employee success.","The role involves working with cutting-edge AI technologies in the sports media domain, contributing to industry-defining software, and unlocking novel insights from complex multimedia data.",,"69% of applicants are entry level, 46% have a Bachelor of Technology degree."
"The job description provides details for a Senior Engineer (.NET) position at Stryker. The information includes job responsibilities, required skills, company details, and application instructions. I have extracted the relevant information to populate the output fields.",Stryker,Senior Engineer .NET,"Gurugram, Haryana, India",Full-stack Development,"C#, ASP.NET Core, .NET Framework, MVC, JavaScript, jQuery, Bootstrap, CSS, SQL Server, Entity Framework, LINQ, Git, CI/CD, Azure, AWS, WPF, InstallShield, Azure DevOps, Jenkins Pipelines",Hybrid,3,7,"52,000",0,,,100,"Medical Equipment Manufacturing, 10,001+ employees","Design, develop, test, and maintain scalable web applications using the Microsoft .NET stack. Build intuitive and responsive front-end interfaces. Develop and consume RESTful APIs and work with databases. Collaborate with cross-functional teams. Participate in code reviews and Agile/Scrum ceremonies. Write clean, maintainable, and efficient code. Troubleshoot, debug, and optimize application performance. Ensure the security, performance, and reliability of applications. Work cooperatively with R&D, Quality, Regulatory, Clinical, Marketing and Project Management. Quickly process and assimilate procedures, policies, processes, systems, and technology. Work on complex problems, applying advanced experience and learnings. Demonstrate ownership and prioritize work with minimal supervision. Build relationships and influence among peers. Lead code reviews. Develop and design software components per requirements and architecture.","3+ years of experience as a Full Stack Developer with a focus on .NET technologies. Proficiency in C#, ASP.NET Core, .NET Framework, and MVC. Strong understanding of front-end frameworks/libraries such as Angular, React. Experience with JavaScript, jQuery, Bootstrap, and modern CSS. Hands-on experience with SQL Server and writing complex queries, stored procedures, and database design. Familiarity with version control systems (e.g., Git) and CI/CD pipelines. Knowledge of Azure or AWS cloud services is a plus.",Bachelors,"The company offers innovative products and services in MedSurg, Neurotechnology, and Orthopaedics that help improve patient and healthcare outcomes. Stryker impacts more than 150 million patients annually. It is a Fortune 500 Company and one of Fortune's World's Best Workplaces for 7 consecutive years.",Stryker is a global leader in medical technologies with a strong focus on innovation and improving healthcare outcomes. The company has a significant impact on patient care and invests heavily in research and development.,,46% of applicants have a Bachelor of Technology. 53% of applicants are entry level.
"The job posting is for a Network Engineer/Senior Member, Tech (SRE) role at D. E. Shaw India Private Limited. The information provided includes details about the company, job responsibilities, required skills, and benefits. I have extracted the relevant information to populate the output fields.",D. E. Shaw India Private Limited,Senior Network Engineer,"Gurugram, Haryana, India","IT, Networking, System Reliability Engineering","TCP/IP, Switching, Routing, Linux, Python, NoSQL databases",Hybrid,3,8,"1,001-5,000",2,,,86,"Financial Services, Technology Development Firm","Designing, implementing, and managing the firm's networking infrastructure; providing tier-2/3 operational support; developing and maintaining automation; upgrading and redesigning existing infrastructure.","Networking fundamentals (TCP/IP, switching, routing), experience with enterprise and data center networking devices, Linux, Python scripting, troubleshooting skills.",Bachelors,"Excellent benefits, casual, collegial working environment, attractive compensation package.","The company builds its own tools and platforms when external solutions don't meet its needs, fostering innovation and a strong engineering culture. They also have a return-to-work initiative (Recommence) for candidates restarting their careers.",1,"31% of applicants have a Bachelor of Technology, and 59% are entry-level applicants."
"The job description provides details for a Senior AI/ML Engineer position at American Express. The information includes the company overview, job responsibilities, required skills, benefits, and application instructions. I will extract the relevant information and populate the output fields accordingly.",American Express,Senior Engineer II AI/ML,"Gurgaon, Haryana, India",AI/ML,"LangChain, NLP, RAG, PySpark",Hybrid,3,8,"10,000+",2,,,100,Large financial services company,"Build & maintain Machine Learning models, integrate models into application flow, maintain documentation, and collaborate with teams.","Hands-on experience in building and deploying AI/ML models (Classical ML, Generative AI, LangChain, NLP, RAG framework), in-depth knowledge of machine learning algorithms, software architecture, libraries and frameworks, Python programming, SQL, NoSQL (plus), Big Data ecosystem (Google cloud stack and PySpark), UNIX/Linux commands, GitHub, CI/CD pipelines.",Bachelors,"Competitive salaries, bonus incentives, financial well-being support, comprehensive medical benefits, flexible working arrangements, generous parental leave, wellness centers, counseling support, and career development opportunities.","Focus on innovation in AI/ML, opportunity to work with a globally recognized financial services company, and a commitment to employee well-being and development.",,"67% of applicants are at the senior level, and 53% have a Bachelor of Technology degree."
"The job description provides a comprehensive overview of a Quality Assurance Engineer role at Bain & Company. The information includes details about the company, job responsibilities, required skills, experience level, and company culture. I have extracted the relevant information to populate the output fields.",Bain & Company,Junior Quality Assurance Engineer,"Gurugram, Haryana, India",Software Quality Assurance,"Selenium Web-driver, Junit, TestNG, Cucumber, Extent reports, Postman, SOAP UI, Swagger UI",Hybrid,0,5,"10,001+",1,,,100,"Global consultancy with 10,000+ employees","Requirement understanding, test planning, design, execution, defect management, collaboration, automation, leadership, and mentoring.","Strong knowledge of software QA methodologies, tools, and processes. Proficiency in programming languages like Java, JavaScript, Python, or C#. Experience with test automation tools and API testing. Familiarity with test management tools and databases.",Bachelors,"Bain & Company emphasizes a collaborative and innovative culture, with a commitment to pro bono services and environmental sustainability. They offer opportunities for professional growth and development.","The company's commitment to pro bono services, environmental sustainability, and a strong emphasis on client success.",,"55% of applicants have a Bachelor of Technology, and 61% are entry-level."
"The job posting provides a detailed description of a Software Engineer role at NatWest Group in Gurugram, Haryana, India. The information includes the company overview, job responsibilities, required skills, experience level, and company culture. I have extracted the relevant information to populate the output fields.",NatWest Group,Senior Software Engineer,"Gurugram, Haryana, India",Full-stack,"Python, AWS, DevOps, Agile methodology",Hybrid,8,15,"10,001+",0,,,100,Large banking institution with a focus on community impact and sustainability.,"Engineering and maintaining software solutions, collaborating with teams, designing and testing code, working across the software development lifecycle, and optimizing software engineering capabilities.","Experience with development and testing tools, bug tracking tools, wikis, Python, AWS, DevOps, Agile methodology, and solving complex analytical and numerical problems.",Bachelors,"The company emphasizes a dynamic learning culture, employee growth, and commitment to sustainability and community impact. They offer flexible working options and prioritize creating a great place to work.","The company's strong focus on community impact, sustainability, and driving change through enterprise, learning, and climate initiatives sets it apart.",,"51% of applicants have a Bachelor of Technology, and 70% are entry-level applicants."
"The job description provides details about a Quality Engineer position at PayU. I have extracted the relevant information to populate the output fields, including company name, job title, location, experience level, skills, and other details as requested.",PayU,Senior Quality Engineer,"Gurgaon, Haryana, India",Fintech,"Selenium WebDriver, REST Assured, Postman, SoapUI, Jenkins, Git",Hybrid,3,5,"1,001-5,000",32,,,100,"Large enterprise, Fintech company","Design, develop, and maintain automated test scripts using Java Selenium WebDriver. Develop API automation scripts using Python or Java. Conduct manual testing of REST APIs using the REST Assured Framework. Collaborate closely with developers and product teams to understand requirements and create comprehensive test cases. Analyze and report test results, and work to troubleshoot and resolve issues. Enhance the existing automation framework and integrate it with CI/CD pipelines for continuous testing. Ensure software is thoroughly tested and meets functional and performance requirements.","Strong programming knowledge of Java and/or Python. 3+ Years of hands-on experience with automation testing frameworks, particularly Selenium WebDriver. Experience in API testing using tools like Postman, SoapUI, or REST Assured. Understanding of software testing principles and methodologies (manual and automated). Knowledge of version control systems such as Git. Experience with CI/CD pipelines (e.g., Jenkins) is a plus.",Bachelors,"Positive, get-things-done workplace, dynamic and evolving environment, inclusive environment, access to 5000+ training courses, corporate learning partnerships with Harvard, Coursera, and Udacity.","Focus on innovation in the fintech space, global reach with local expertise, significant investment in fintech ($1 billion+), processing approximately 10 million payments daily.",,57% of applicants have a Bachelor of Technology degree. 67% of applicants are entry-level.
"The job description provides details about a QA Engineer position at Konrad Group. I've extracted information regarding the company, job title, location, domain, required skills, experience level, salary (not explicitly mentioned), number of applicants, company type, key responsibilities, technical requirements, education, benefits, and unique aspects of the role.",Konrad Group,Entry level QA Engineer,"Gurgaon, Haryana, India",Software Development,"JIRA, Windows, OS X, iOS, Android",Hybrid,0,2,"501-1,000",29,,,100,Digital agency and product innovation firm,"Perform regular quality checks and user acceptance tests, document issues, assist the development team, verify bug fixes, review supported devices and browsers.","Proficient in Microsoft Word and Excel, experience with JIRA, knowledge of Windows, OS X, iOS, and Android operating systems, comfortable using various tablets and cellular devices.",Bachelors,"Socials, Outings & Retreats, One day per week Work From Home flexibility, Culture of Learning & Development, commitment to diversity and inclusion.","Focus on innovation and creating best-in-class digital products, global presence with offices in multiple locations, commitment to employee growth and learning.",,"73% of applicants are entry level, 53% have a Bachelor of Technology degree."
"The job description provides a clear outline of a Senior Computer Vision Engineer role at Mercer. The information is well-structured, detailing responsibilities, requirements, and company information. I've extracted the relevant details to populate the output fields.",Mercer,Senior Computer Vision Engineer,"Gurugram, Haryana, India",AI,"OpenCV, NumPy, Pandas, TensorFlow, PyTorch, Keras, CUDA, CUDNN, tensorRT, RCNNs, vision transformers",Hybrid,2,5,"10,001+",1,,,100,"Large enterprise, professional services","Develop and optimize computer vision algorithms, design and train deep learning models, test and refine models, evaluate project requirements, present findings, collaborate on system integration, conduct research, automate data preprocessing, maintain documentation, mentor junior engineers.","Proficiency in Python, knowledge of C++, Java, and JS, understanding of neural networks (CNNs, RCNNs, vision transformers), experience with deep learning frameworks (TensorFlow, PyTorch, Keras), understanding of image processing techniques, experience with GPU technologies (CUDA, CUDNN, tensorRT), familiarity with Python libraries (OpenCV, NumPy, Pandas, scikit-learn), basic knowledge of linear algebra, calculus, and statistics.",Masters,"Marsh McLennan is committed to embracing a diverse, inclusive and flexible work environment. Hybrid work model with expectation of 3 days/week in office.",Focus on applying computer vision to enhance online assessment security and prevent cheating.,,"27% of applicants have a Bachelor of Technology, 61% are entry-level."
"The job description provides details about a Senior Engineer II (C++ Developer) position at Aristocrat. I have extracted the relevant information to populate the requested fields, including company details, job specifics, experience levels, salary information (though absent in the text), and company culture.",Aristocrat,"Senior Engineer II, C++ Developer","Gurugram, Haryana, India",Gaming,"C++, Unity, C#",Hybrid,4,5,"5,001-10,000",0,,,89,"Public Company, Gaming and Entertainment","Develop slot games for Digital Applications across multiple platforms (iOS, Android & Web), understand Digital challenges, define and implement innovative solutions, participate and execute all stages of software development life cycle, driving quality through software design and code reviews, team collaboration and continuous improvement.","Strong knowledge of Object Oriented and Design Patterns, strong knowledge in C++ including C++ 11 concepts, excellent programming skills along with debugging experience, strong analytical and creative problem-solving skills, prior experience in owning components and features in an enterprise grade application, experience with Bug tracking, hands-on experience in SVN or GIT.",Bachelors,"Robust benefits package, global career opportunities, values of All about the Player, Talent Unleashed, Collective Brilliance, Good Business Good Citizen, commitment to employee wellbeing and responsible gameplay, diverse and inclusive work environment.","Opportunity to work on leading gaming content and technology, contribute to a world-leading company in the gaming industry, focus on innovation and bringing joy to players.",,"59% of applicants have a Bachelor of Technology, 59% are entry level applicants."
"The job description provides detailed information about a Senior Software Engineer role at dunnhumby. I have extracted the relevant details to populate the output fields, including company name, job title, location, experience level, skills, and other pertinent information. The provided text includes details about the company culture, benefits, and applicant insights, which are also included in the output.",dunnhumby,Senior Software Engineer - Backend,"Gurgaon, Haryana, India",Software Development,"RESTful APIs, Microservices, Docker, Kubernetes, Terraform, CI/CD, GitOps, PostgreSQL, NoSQL, gRPC, GraphQL",Hybrid,6,10,"1,001-5,000",1,,,100,"Large company with 1,001-5,000 employees","Developing scalable, high-performance solutions, enhancing code quality, contributing to architecture decisions, implementing cloud-native best practices, performance tuning, observability, security best practices, identifying dependencies and risks, staying updated with emerging technologies.","C#, .NET Core, RESTful API development, asynchronous programming, concurrency control, event-driven architecture, object-oriented programming, data structures, algorithms, unit testing frameworks, Docker, Kubernetes, performance tuning, security best practices, observability, CI/CD pipelines, GitOps workflows, infrastructure-as-code, relational databases (PostgreSQL), NoSQL solutions.",Bachelors,"Comprehensive rewards package, flexible working hours, birthday off, investment in cutting-edge technology, nimble small-business feel, diversity and inclusion initiatives (Gender Equality Network, Proud, Family, One, Thrive).","Focus on customer data science, global presence, emphasis on diversity and inclusion, flexible working options, and a balance between a large company's resources and a small business's agility.",,"78% of applicants are at the senior level, and 34% have a Bachelor of Technology degree."
"The job description provides comprehensive details about a Software Engineer role at Spring Financial. The information includes company overview, job responsibilities, required skills, salary range, benefits, and company culture. I have extracted the relevant information to populate the output fields accurately.",Spring Financial,"Senior Software Engineer, Full-Stack","Vancouver, British Columbia, Canada","Fintech, Full-Stack Development","RESTful APIs, CI/CD, DevOps",Hybrid,3,5,201-500,4,90000,115000,100,"Fintech company, 201-500 employees","- Own end-to-end delivery of features or services, including design, implementation, testing, deployment, and operations.
- Collaborate with product, design, and business stakeholders to scope and prioritize work.
- Identify edge cases and failure scenarios, and build systems that handle them gracefully.
- Write clear, well-tested, and maintainable code.
- Monitor and maintain services in production.
- Continuously improve code quality and engineering processes.
- Mentor early-career engineers.","Proficient in one or more modern languages and frameworks (e.g., TypeScript/React, Java/Spring, Python/Django). Experience with distributed systems, RESTful APIs, and full-stack development. Familiarity with CI/CD pipelines, monitoring tools, and DevOps best practices.",Bachelors,"Competitive annual salary, comprehensive benefits package (extended health, dental, vision), GRSP matching program, transit allowance, modern collaborative workspace, ongoing career growth opportunities. The company culture emphasizes collaboration, innovation, and making a real impact.",The company is focused on democratizing access to better credit for Canadians and has a strong mission-driven culture. They offer opportunities for career growth and encourage employees to explore their interests.,,"72% of applicants have a Bachelor of Technology, and 87% are entry-level applicants."
"The job posting is for a Design Engineer I&C at Siemens Energy in Gurugram, Haryana, India. The role involves designing and specifying control systems for rotating machinery. The posting provides details on responsibilities, required skills, experience, education, benefits, and company culture. I have extracted the relevant information to populate the output fields.",Siemens Energy,Junior Design Engineer Instrumentation & Controls,"Gurugram, Haryana, India",Energy,"Instrumentation, Controls, SCADA, P&ID, COMOS PT",Hybrid,1,3,"100,000+",2,,,100,Large multinational energy technology company,"Design and specify Unit Control Systems and Low Voltage Wiring systems for rotating machinery. Prepare instrument datasheets, P&IDs, instrument lists, and wiring diagrams. Maintain data models and innovate COMOS PT development.","Application experience with object-oriented engineering software (e.g., COMOS PT). Knowledge of standards: API 670, IEC 60079, DIN EN 60617. Experience with SCADA/I&C design drawings, control panel layout, and instrumentation installation.",Bachelors,"Medical insurance with family floater cover, meal card option, flexi pay for tax optimization, remote working arrangements (up to 2 days/week), and a diverse and inclusive company culture.",Focus on decarbonization and sustainable energy solutions. Opportunity to work with cutting-edge technologies and contribute to a global energy transition.,,"49% of applicants have a Bachelor of Technology, and 58% are entry-level applicants."
"The job posting is for a Senior Software Engineer role at Gartner, requiring 4-6 years of experience in full-stack development with Python/Nodejs, ReactJs, and Azure cloud services. The posting provides details about the company, responsibilities, technical requirements, and benefits. I have extracted the relevant information to populate the requested fields.",Gartner,Senior Software Engineer,"Gurgaon, Haryana, India",Full-stack,"ReactJs, Python, Nodejs, Azure, MySQL, Postgres, SQLMI, MongoDB, Cassandra, Jenkins, Artifactory, Terraform, Cloud Bees",Hybrid,4,6,"10,001+",2,,,100,"Large enterprise (21,000+ associates), publicly traded (NYSE: IT), Information Services","Design, implement, unit test, integration test, and support web-based applications and services. Contribute to the review and analysis of business requirements. Collaborate on architecture and technical design discussions. Perform and participate in code reviews. Document and review detailed design. Work in teams and collaborate with stakeholders to define requirements. Innovate and showcase new approaches to improve efficiency. Execute short development cycles in a globally distributed setup.","Full stack development experience with ReactJS, Python/Nodejs, and Azure cloud services. Experience with Relational databases (MySQL/Postgres/SQLMI) & Non-Relational database like MongoDB, Cassandra. Experience with CI/CD using Jenkins/Artifactory/Terraform/Cloud Bees.",Bachelors,"Gartner offers world-class benefits, highly competitive compensation, and disproportionate rewards for top performers. They operate under a hybrid virtual-first working arrangement, providing flexibility and support for employees. They emphasize career growth, talent development, and a diverse and inclusive work environment.","Gartner emphasizes innovation, collaboration, and a commitment to guiding leaders who shape the world. They offer a hybrid work environment and invest in employee development.",98955,51% of applicants have a Bachelor of Technology. 52% of applicants are at the Senior level.
"The job posting is for a Mechanical Engineer role at Jacobs, focusing on water treatment plant design. The posting provides details on experience level, required skills, and company culture. I've extracted the relevant information to populate the output fields.",Jacobs,Senior Mechanical Engineer,"Gurgaon, Haryana, India",Engineering,"Water treatment, Piping systems, AutoCAD, Revit, Plant 3D, Navisworks",Hybrid,5,16,"10,001+",1,,,100,"Large company with 10,000+ employees, focused on business consulting and services.","Design and detail engineering of industrial water piping systems, preparation and checking of piping layouts for water treatment plants, handling wastewater treatment plants and pumping systems.","AutoCAD is essential. Knowledge of Revit/Plant 3D and Navisworks is a plus. Experience with various codes and standards like IS, AWWA, ASME, ANSI, BS, HIS, CPHEEO Manual, ISO, DIN etc.",Bachelors,"Jacobs values people, promotes diversity, equity, and inclusion, offers career growth and learning opportunities, supports work-life balance with flexible arrangements, and prioritizes environmental sustainability and social impact.","Focus on challenging today to reinvent tomorrow, commitment to sustainability and social impact, and a hybrid work model.",,"43% of applicants have a Bachelor of Technology, and 58% are entry-level applicants."
"The job description provides a comprehensive overview of a Quality Engineer - SDET role at NPS Prism, a company owned by Bain & Company. The information includes details about the company, job responsibilities, required skills, experience levels, and salary range. The provided text allows for accurate extraction of the requested fields.",NPS Prism,Junior/Mid-Level Software Development Engineer in Test,"Gurgaon, Haryana, India",Software Testing/Quality Assurance,"Selenium, Appium, Cypress, Playwright, TestNG, Postman, RestAssured, SoapUI, JMeter, Gatling, k6, Docker, Kubernetes",Hybrid,2,4,11-50,1,500000,1000000,100,"Product B2B SAAS, Bootstrapped","Reading logs to analyse the root cause of the issue, designing, developing, and maintaining automated test frameworks, scripts, and tools, developing and executing unit, integration, functional, performance, and regression tests, collaborating with software engineers to integrate test automation into CI/CD pipelines, identifying, documenting, and tracking defects, performing code reviews, API testing, end-to-end testing, and white-box testing, continuously enhancing and improving test strategies, tools, and best practices, working closely with DevOps and SRE teams, participating in design and architecture discussions, monitoring and analyzing test results.","Proficiency in coding with languages like Java, Python, JavaScript, C#, typescript or Kotlin, experience in automation testing using tools such as Selenium, Appium, Cypress, Playwright, or TestNG, hands-on experience with API testing tools (Postman, RestAssured, SoapUI), knowledge of CI/CD pipelines using Jenkins, GitHub Actions, GitLab CI/CD, experience with cloud environments (AWS, Azure, GCP) and containerization tools like Docker and Kubernetes, familiarity with performance testing tools such as JMeter, Gatling, or k6, understanding of software development methodologies (Agile, Scrum, Kanban) and QA processes, strong analytical and problem-solving skills.",Bachelors,"The company emphasizes transparency, efficiency, and human connection in its hiring process. It offers advanced candidate-matching algorithms and real-time updates for job seekers.",The company is building the largest startup owned by Bain & Company and is transitioning from a consulting-led to a technology-led business. It provides transparency to job seekers by providing updates on their application status.,,75% of applicants are entry level and 56% have a Bachelor of Technology degree.
"The job description provides a comprehensive overview of a Senior Software Engineer position at Naehas, a pre-IPO company specializing in automating marketing for financial institutions. The information includes details about the company, job responsibilities, required skills, experience level, and benefits. I have extracted the relevant information to populate the output fields.",Naehas,Senior Software Engineer - Java,"Gurugram, Haryana, India",AI/Marketing Automation/Financial Services,"Spring Boot, Spring Data JPA, Hibernate, RESTful web services, OAuth2, OpenID Connect/SAML, JWT, Maven/Gradle, MySQL, MongoDB, Neo4j, JVM Performance Tuning, Garbage Collection",Hybrid,5,7,51-200,4,,,45,"Pre-IPO, fast-growing software company specializing in marketing automation for financial institutions.","Analyze, design, and develop reliable, scalable, and high-performing web applications. Collaborate with product managers and technical leaders. Mentor other developers. Address architecture and design issues. Perform requirements analysis and design optimized solutions. Implement software systems.","Java 8, Spring Boot, Spring Data JPA, Hibernate, RESTful web services, OAuth2, OpenID Connect/SAML, JWT, Maven/Gradle, MySQL, MongoDB, Neo4j, JVM Performance Tuning, Garbage Collection, Memory Management, Threading and Concurrency, Performance Profiling and Optimization, Cloud platforms (AWS preferred).",Bachelors,"Competitive compensation, full suite of benefits (including health), casual workplace, agility of a growing start-up, flexible work arrangements, free meals, yearly offsites, values-driven culture (Reality, Ownership, Courage, Trust, Curiosity, Flexibility, Integrity).",Pre-IPO company with a focus on automating marketing for financial institutions. Strong emphasis on employee growth and a values-driven culture.,,44% of applicants have a Bachelor's Degree. 51% of applicants are at the Senior level.
"The job posting is for a Quality Engineer - Data at IBM in Gurgaon, Haryana, India. The posting details the responsibilities, required skills, and preferred education. I've extracted the relevant information to populate the output fields.",IBM,"Seniority: Entry level, Title: Quality Engineer, Role: Engineer","Gurgaon, Haryana, India",AI,"SQL, Azure Databricks",Hybrid,0,5,"10,001+",2,,,63,Large IT Services and Consulting company,"Team player, training others, strong communication and collaboration skills.","Able to write complex SQL queries, experience in Azure Databricks.",Masters,Not explicitly mentioned in the provided text.,Focus on innovation and adoption of new technology within IBM Consulting Client Innovation Centers.,,"52% of applicants have a Bachelor of Technology, 60% are entry level."
